TS代码,股票代码,股票名称,行业
688017.SH,1,绿的谐波,自动化设备
688157.SH,2,松井股份,化学制品
688047.SH,3,C龙芯,半导体
688320.SH,4,禾川科技,自动化设备
688325.SH,5,赛微微电,半导体
688533.SH,6,上声电子,汽车零部件
600272.SH,7,开开实业,医药商业
601101.SH,8,昊华能源,煤炭开采
603656.SH,9,泰禾智能,专用设备
603758.SH,10,秦安股份,汽车零部件
603319.SH,11,湘油泵,汽车零部件
605050.SH,12,福然德,物流
600361.SH,13,华联综超,一般零售
600829.SH,14,人民同泰,医药商业
603530.SH,15,神马电力,电网设备
603322.SH,16,超讯通信,通信服务
600213.SH,17,亚星客车,商用车
600513.SH,18,联环药业,化学制药
603330.SH,19,上海天洋,塑料
600259.SH,20,广晟有色,小金属
603527.SH,21,众源新材,工业金属
603051.SH,22,鹿山新材,化学制品
605499.SH,23,东鹏饮料,饮料乳品
603728.SH,24,鸣志电器,电机Ⅱ
603779.SH,25,威龙股份,非白酒
603097.SH,26,江苏华辰,电网设备
600969.SH,27,郴电国际,电力
600348.SH,28,华阳股份,煤炭开采
601717.SH,29,郑煤机,专用设备
605588.SH,30,冠石科技,光学光电子
603917.SH,31,合力科技,汽车零部件
603015.SH,32,弘讯科技,自动化设备
688116.SH,33,天奈科技,电池
600477.SH,34,杭萧钢构,专业工程
603239.SH,35,浙江仙通,汽车零部件
601886.SH,36,江河集团,装修装饰Ⅱ
600378.SH,37,昊华科技,化学制品
600418.SH,38,江淮汽车,商用车
688621.SH,39,阳光诺和,医疗服务
688097.SH,40,博众精工,自动化设备
600165.SH,41,新日恒力,化学制品
600004.SH,42,白云机场,航空机场
601001.SH,43,晋控煤业,煤炭开采
603399.SH,44,吉翔股份,小金属
688037.SH,45,芯源微,半导体
603966.SH,46,法兰泰克,专用设备
600686.SH,47,金龙汽车,商用车
688630.SH,48,芯碁微装,专用设备
603345.SH,49,安井食品,食品加工
603688.SH,50,石英股份,非金属材料Ⅱ
603317.SH,51,天味食品,调味发酵品Ⅱ
600026.SH,52,中远海能,航运港口
603517.SH,53,绝味食品,休闲食品
605117.SH,54,德业股份,家电零部件Ⅱ
603737.SH,55,三棵树,装修建材
605376.SH,56,博迁新材,小金属
603032.SH,57,德新交运,铁路公路
600647.SH,58,同达创业,综合Ⅱ
600328.SH,59,中盐化工,化学原料
600841.SH,60,动力新科,汽车零部件
600761.SH,61,安徽合力,工程机械
688662.SH,62,富信科技,其他电子Ⅱ
603192.SH,63,汇得科技,化学制品
603800.SH,64,道森股份,专用设备
688356.SH,65,键凯科技,化学制药
688577.SH,66,浙海德曼,通用设备
601888.SH,67,中国中免,旅游零售Ⅱ
600188.SH,68,兖矿能源,煤炭开采
600496.SH,69,精工钢构,专业工程
600841.SH,70,动力新科,汽车零部件
603289.SH,71,泰瑞机器,专用设备
600546.SH,72,山煤国际,煤炭开采
600084.SH,73,中葡股份,非白酒
600508.SH,74,上海能源,煤炭开采
603655.SH,75,朗博科技,汽车零部件
688185.SH,76,康希诺,生物制品
603396.SH,77,金辰股份,光伏设备
603719.SH,78,良品铺子,休闲食品
601995.SH,79,中金公司,证券Ⅱ
601975.SH,80,招商南油,航运港口
600256.SH,81,XD广汇能,炼化及贸易
688577.SH,82,浙海德曼,通用设备
605488.SH,83,福莱新材,塑料
600876.SH,84,洛阳玻璃,玻璃玻纤
601995.SH,85,中金公司,证券Ⅱ
600592.SH,86,龙溪股份,通用设备
601975.SH,87,招商南油,航运港口
600070.SH,88,浙江富润,综合Ⅱ
603116.SH,89,红蜻蜓,服装家纺
603178.SH,90,圣龙股份,汽车零部件
600276.SH,91,恒瑞医药,化学制药
688045.SH,92,必易微,半导体
600545.SH,93,卓郎智能,专用设备
603256.SH,94,宏和科技,玻璃玻纤
603236.SH,95,移远通信,通信设备
688618.SH,96,三旺通信,通信设备
688262.SH,97,国芯科技,半导体
603133.SH,98,碳元科技,消费电子
603606.SH,99,东方电缆,电网设备
603077.SH,100,和邦生物,化学原料
301199.SZ,101,迈赫股份,自动化设备
300093.SZ,102,金刚玻璃,玻璃玻纤
300930.SZ,103,屹通新材,金属新材料
300113.SZ,104,顺网科技,游戏Ⅱ
300707.SZ,105,威唐工业,汽车零部件
300799.SZ,106,左江科技,软件开发
300679.SZ,107,电连技术,消费电子
300367.SZ,108,网力退,计算机设备
300027.SZ,109,华谊兄弟,影视院线
300801.SZ,110,泰和科技,化学制品
300400.SZ,111,劲拓股份,自动化设备
301073.SZ,112,君亭酒店,酒店餐饮
300534.SZ,113,陇神戎发,中药Ⅱ
300032.SZ,114,金龙机电,消费电子
300842.SZ,115,帝科股份,光伏设备
300613.SZ,116,富瀚微,半导体
300503.SZ,117,昊志机电,通用设备
300041.SZ,118,回天新材,化学制品
300307.SZ,119,慈星股份,专用设备
300325.SZ,120,德威退,塑料
301168.SZ,121,通灵股份,光伏设备
301221.SZ,122,光庭信息,汽车零部件
002503.SZ,123,搜于特,服装家纺
002031.SZ,124,巨轮智能,专用设备
002528.SZ,125,英飞拓,计算机设备
000530.SZ,126,冰山冷热,通用设备
002218.SZ,127,拓日新能,光伏设备
002652.SZ,128,扬子新材,装修建材
002905.SZ,129,金逸影视,影视院线
000838.SZ,130,财信发展,房地产开发
002166.SZ,131,莱茵生物,中药Ⅱ
002896.SZ,132,中大力德,通用设备
002454.SZ,133,松芝股份,汽车零部件
002158.SZ,134,汉钟精机,通用设备
002549.SZ,135,凯美特气,化学制品
002079.SZ,136,苏州固锝,半导体
002529.SZ,137,海源复材,专用设备
002838.SZ,138,道恩股份,塑料
001316.SZ,139,润贝航科,炼化及贸易
300660.SZ,140,江苏雷利,电机Ⅱ
002731.SZ,141,萃华珠宝,饰品
003028.SZ,142,振邦智能,消费电子
002058.SZ,143,威尔泰,电网设备
001226.SZ,144,拓山重工,工程机械
002866.SZ,145,传艺科技,消费电子
003030.SZ,146,祖名股份,农产品加工
001296.SZ,147,长江材料,非金属材料Ⅱ
002943.SZ,148,宇晶股份,通用设备
002655.SZ,149,共达电声,消费电子
000683.SZ,150,远兴能源,化学原料
003002.SZ,151,壶化股份,化学制品
000892.SZ,152,欢瑞世纪,影视院线
002363.SZ,153,隆基机械,汽车零部件
002050.SZ,154,三花智控,家电零部件Ⅱ
000821.SZ,155,京山轻机,专用设备
002631.SZ,156,德尔未来,家居用品
003039.SZ,157,顺控发展,环境治理
002738.SZ,158,中矿资源,小金属
002902.SZ,159,铭普光磁,通信设备
002805.SZ,160,丰元股份,化学原料
002623.SZ,161,亚玛顿,光伏设备
002248.SZ,162,华东数控,通用设备
002101.SZ,163,广东鸿图,汽车零部件
002996.SZ,164,顺博合金,工业金属
002747.SZ,165,埃斯顿,自动化设备
002917.SZ,166,金奥博,化学制品
002291.SZ,167,星期六,广告营销
002907.SZ,168,华森制药,中药Ⅱ
002033.SZ,169,丽江股份,旅游及景区
002843.SZ,170,泰嘉股份,通用设备
002571.SZ,171,德力股份,家居用品
002786.SZ,172,银宝山新,专用设备
002514.SZ,173,宝馨科技,通用设备
000058.SZ,174,深 赛 格,一般零售
002888.SZ,175,惠威科技,消费电子
002953.SZ,176,日丰股份,电网设备
001208.SZ,177,华菱线缆,电网设备
002753.SZ,178,永东股份,橡胶
002191.SZ,179,劲嘉股份,包装印刷
002451.SZ,180,摩恩电气,电网设备
002451.SZ,181,摩恩电气,电网设备
002331.SZ,182,皖通科技,IT服务Ⅱ
000868.SZ,183,安凯客车,商用车
002355.SZ,184,兴民智通,汽车零部件
002565.SZ,185,顺灏股份,包装印刷
002689.SZ,186,远大智能,专用设备
301266.SZ,187,宇邦新材,光伏设备
000524.SZ,188,岭南控股,旅游及景区
300552.SZ,189,万集科技,计算机设备
003021.SZ,190,兆威机电,电机Ⅱ
000625.SZ,191,长安汽车,乘用车
002460.SZ,192,赣锋锂业,能源金属
300910.SZ,193,瑞丰新材,化学制品
300611.SZ,194,美力科技,汽车零部件
300545.SZ,195,联得装备,光学光电子
002610.SZ,196,爱康科技,光伏设备
300543.SZ,197,朗科智能,消费电子
002760.SZ,198,凤形股份,通用设备
300712.SZ,199,永福股份,专业工程
300973.SZ,200,立高食品,休闲食品
